"stn_code","stn_name","zone_code","division_code","latitude","longitude"
BLU,Bilhaur,NER,IZN,"26.83946","80.06070167"
BURN,Burnpur                                                     ,SER,ADRA,"23.6723954","86.93946049"
CNHL,Chink Hill                                                  ,CR,SUR,"18.099677","75.457897"
GLH,Gulaothi                                                    ,NR,MB,"28.58183717","77.80146"
LD,Londa Jn.                                                   ,SWR,UBL,"15.45160333","74.49812333"
PTI,Patiali,NER,IZN,"27.68406167","78.98381667"
PTK,Pathankot Jn.,NR,JAT,"32.27222145","75.64682276"
BLWR,Bileshwar                                                   ,WR,RJT,"22.38296337","70.83101153"
MGO,Mahisgaon                                                   ,CR,SUR,"18.10941","75.495485"
BUJA,BHUJIA,NCR,PRYJ,"27.08956667","78.9692"
BUS,Badausa,NCR,JHS,"25.24830333","80.65156667"
PTKC,Pathankot Cantt,NR,JAT,"32.25912367","75.63618033"
GLI,Galsi,ER,ASN,"23.35840167","87.68141333"
BESG,Maharashtra State Electricity Board Siding Paras            ,CR,BSL,"20.724889","76.816235"
BUR,Bindaura,NER,LJN,"27.02142407","81.32531224"
BURA,BAHUARA(HALT),NER,BSB,"25.89751791","84.78420034"
LCT,Langcholiet,NFR,LMG,"25.75861667","93.30485333"
BESB,M/s Bhartia Elec. Steel Co. (Besco) BRP                     ,ER,SDAH,"22.366348","88.431337"
BFTL,BOILER  FACTORY of M/S TEXMACO  LTD. BLH                    ,ER,SDAH,"22.66166","88.389215"
KZB,Kurumbur,SR,MDU,"8.58566283","78.03955283"
CNJ,Chander Nagar Halt                                          ,NR,DLI,"28.66312888","77.33119688"
PTM,Padalam                                                     ,SR,MAS,"12.58993427","79.95042675"
GLP,Gollaprolu,SCOR,BZA,"17.15226284","82.2911803"
BGBG,Budge-Budge Goods                                           ,ER,SDAH,"22.4967","88.2023"
BMGN,Bamunigaon,NFR,RNY,"26.01498653","91.29574494"
BMNL,Bamanwali                                                   ,NWR,BKN,"28.36775044","73.52130616"
GLTA,Gahlota                                                     ,NWR,JP,"26.67421347","74.970968"
LDP,Lodipur Bishenpur Halt                                      ,NR,MB,"28.872011","78.70944267"
LGL,Lalgola                                                     ,ER,SDAH,"24.42130861","88.25796472"
BUTA,BHADUTALA                                                   ,SER,ADRA,"22.48453833","87.320725"
LTR,Lakhtar                                                     ,WR,RJT,"22.87240293","71.77636909"
LTRR,Latur Road Jn,SCR,SC,"18.50637671","76.84513324"
MABD,Mahbubabad,SCR,SC,"17.59691891","80.0007101"
BMGA,Bhimgara Jn.,ER,ASN,"23.73821333","87.28452333"
BFY,Bhesana                                                     ,NWR,AII,"25.82371944","73.71736111"
CNI,Chandil Jn.                                                 ,SER,ADRA,"22.95591","86.07292333"
CNK,Chandok                                                     ,NR,MB,"29.57713383","78.15264783"
GLNA,Golana  halt                                                ,NWR,JP,"27.10216664","76.56511372"
LDK,Ladhuka                                                     ,NR,FZR,"30.500659","74.122954"
CNPR,Chainpur                                                    ,ECR,DHN,"23.7302265","85.58335167"
MAHE,Mahe                                                        ,SR,PGT,"11.69931002","75.54666956"
PTMS,Pattabiram Military Siding                                  ,SR,MAS,"13.13714429","80.05998483"
GMI,Gond Umri P.H.,SECR,NAG,"21.02163783","80.0895755"
BMY,Bamiana,NER,IZN,"28.26243153","79.32915259"
BMZ,Bamour Gaon                                                 ,NCR,JHS,"26.34035183","78.10341618"
GMN,Goregaon                                                    ,WR,BCT,"19.16465683","72.8495135"
MAHM,Maham,NR,DLI,"28.98181428","76.25839586"
MAHO,Maholi                                                      ,NR,MB,"27.648914","80.47678168"
PTN,Patan                                                       ,WR,ADI,"23.85357133","72.131473"
PTNR,Patel Nagar                                                 ,NR,DLI,"28.660525","77.15657167"
CNPI,Chandanpahari,ER,ASN,"24.395275","86.98379667"
BN,Bibinagar Jn.,SCR,SC,"17.47041552","78.79352436"
BNGL,Bhangala,NR,JAT,"32.02511017","75.6124425"
GMM,Gumman                                                      ,NR,UMB,"30.84232917","76.9718325"
MABN,Maban,WCR,BPL,"24.64221033","77.37498983"
CNPA,CHANNARAYAPATNA,SWR,SBC,"12.892612","76.393765"
BGSN,BUFFER STORAGE GODOWN SIDING,ECR,SPJ,"26.1209","85.3647"
BNGS,M/S. Shree Cement Co. Ltd.                                  ,DFCR,WDFC,"26.108508","74.314571"
GNBA,GAON BARODA,NR,DLI,"29.43171392","76.20510111"
PTS,Patansaongi                                                 ,SECR,NAG,"21.3454095","79.00996183"
BNHT,Bannihatti                                                  ,SWR,UBL,"15.14434","76.62186"
BHEG,Bharat Heavy Electrical Siding-Khajraha                     ,NCR,JHS,"25.303838","78.478045"
CNS,Chuchura,ER,HWH,"22.88997663","88.36965241"
MAKR,BINA MALKHEDI  JUNCTION,WCR,JBP,"24.1705789","78.22346001"
BNKJ,Bankeganj,NER,LJN,"28.162079","80.413878"
CNRF,CHANDRA                                                     ,SER,ADRA,"23.30304333","87.25002167"
PTU,Partur,SCR,NED,"19.57641667","76.21275278"
MHT,Manjhi HALT                                             ,NER,BSB,"25.82899672","84.58532041"
PTTN,PATTAN,NR,JAT,"34.16578317","74.56308283"
BHAN,Bhoyani,WR,ADI,"23.36107597","72.23427402"
BHCH,BLOCK CABIN CHAKKI BANK,NR,JAT,"32.24023911","75.65257588"
GNA,Goneana Bhai Jagta,NR,FZR,"30.31871817","74.90944267"
BNJH,BARANJH,WCR,JBP,"22.9120102","78.8723614"
BHBT,BLOCH HUT BASANTAR,NR,JAT,"32.55835103","75.06836159"
