SEGMENT
AA-BKT
AA-SD
AADR-CHMG
AADR-CHTL
AADR-DLPC
AADR-NLDM
AAFN-NBM
AAG-MKPT
AAG-WKA
AAGH-KETI
AAK-ANK
AAK-MMR
AAL-ACLA
AAL-AKTS
AAL-APR
AAL-BUH
AAL-MHJA
AAL-OPSG
AALJ-JDA
AAM-SRR
AAM-VNB
AAP-JJK
AAP-RURA
AAR-BUBR
AAR-LAA
AAS-JWL
AAS-KSW
AASM-CRP
AAY-NCJ
AAY-NPK
AB-PCKM
AB-VGM
ABB-ACSY
ABB-NALR
ABB-SEL
ABB-SGTY
ABBS-KRKN
ABBS-VAA
ABD-CLDB
ABD-CLDY
ABD-SAU
ABFC-BLK
ABFC-NJP
ABGM-GNND
ABGM-KWAE
ABH-ABSG
ABH-BUD
ABH-KYN
ABH-NRL
ABH-ULNR
ABHR-RDR
ABI-DG
ABI-KQN
ABJK-CRP
ABKA-BGRA
ABKA-DTAE
ABKA-GPAE
ABKD-MLBN
ABKD-SDMD
ABKH-SDMD
ABKP-BSPR
ABKP-KLPG
ABLE-RJW
ABLE-SHIV
ABO-ASE
ABO-DGHL
ABO-KRZ
ABO-RE
ABO-ROK
ABP-AY
ABP-JFG
ABP-KTHE
ABP-SHG
ABP-TD
ABPK-MLBN
ABPK-SDMD
ABR-MAA
ABR-MXO
ABRV-ARPR
ABRV-MTSI
ABS-CWDA
ABS-FKA
ABS-PJK
ABS-PKK
ABS-SGNR
ABSA-MANU
ABSA-MGKM
ABSB-SDMD
ABSD-SRX
ABSG-ABH
ABSK-MLBN
ABSK-SDMD
ABU-AVD
ABU-VLK
ABX-KNVT
ABX-KSAE
ABY-SHAD
ABY-TLA
ABZ-AKOT
ABZ-WND
ACAB-EMTY
ACAB-JNCB
ACAB-RMUY
ACBN-DNDP
ACBN-DNRY
ACBN-SKLN
ACBN-XBL
ACCG-GNG
ACCJ-JNK
ACG-BDWD
ACG-VNA
ACLA-AAL
ACLA-AKTS
ACLR-RSBR
ACND-AY
ACND-AYC
ACOI-CODS
ACOI-KCN
ACOI-LKJN
ACOI-NYN
ACPC-CLPE
ACPR-BBNB
ACPR-FCAP
ACPR-MZS
ACPR-SMCP
ACPR-SPTR
ACRN-NAN
ACRN-VBW
ACS-COR
ACS-SMP
ACSG-DHD
ACSK-KTH
ACSR-DMA
ACSR-RDR
ACSY-ABB
ACSY-NALR
ACTR-TLHR
AD-ESV
AD-NRR
ADAW-ADRA
ADB-MUE
ADB-PMKT
ADB-UMM
ADD-VDA
ADD-VXD
